player_team,player_number,player_name,pitcher_batting,birth_date,height_weight
OB,88,김태형,우투우타,1967-09-12,"175cm, 82kg"
OB,70,유재신,우투우타,1987-11-21,"179cm, 78kg"
OB,71,이도형,우투우타,1975-05-24,"182cm, 102kg"
OB,73,정재훈,우투우타,1980-01-01,"178cm, 83kg"
OB,80,김진수,우투우타,1979-04-19,"180cm, 90kg"
OB,81,강동우,좌투좌타,1974-04-20,"177cm, 78kg"
OB,85,김주찬,우투우타,1981-03-25,"183cm, 95kg"
OB,86,강석천,우투우타,1967-12-07,"185cm, 87kg"
OB,90,고영민,우투우타,1984-02-08,"182cm, 73kg"
OB,91,배영수,우투우타,1981-05-04,"185cm, 100kg"
OB,17,홍건희,우투우타,1992-09-29,"187cm, 97kg"
OB,19,김지용,우투우타,1988-02-20,"174cm, 86kg"
OB,27,김강률,우투우타,1988-08-28,"187cm, 95kg"
OB,34,스탁,우투좌타,1989-11-21,"185cm, 97kg"
OB,36,윤명준,우투우타,1989-06-18,"178cm, 78kg"
OB,45,임창민,우투우타,1985-08-25,"183cm, 98kg"
OB,46,김명신,우투우타,1993-11-29,"178cm, 90kg"
OB,50,이영하,우투우타,1997-11-01,"192cm, 91kg"
OB,55,이승진,우투우타,1995-01-07,"186cm, 86kg"
OB,60,박정수,우언좌타,1996-01-29,"178cm, 74kg"
OB,61,최원준,우언우타,1994-12-21,"182cm, 91kg"
OB,64,최승용,좌투좌타,2001-05-11,"190cm, 87kg"
OB,10,박세혁,우투좌타,1990-01-09,"181cm, 86kg"
OB,22,장승현,우투우타,1994-03-07,"184cm, 86kg"
OB,3,안재석,우투좌타,2002-02-15,"185cm, 75kg"
OB,9,페르난데스,우투좌타,1988-04-27,"178cm, 83kg"
OB,13,허경민,우투우타,1990-08-26,"176cm, 69kg"
OB,14,박계범,우투우타,1996-01-11,"177cm, 84kg"
OB,23,강승호,우투우타,1994-02-09,"178cm, 88kg"
OB,24,오재원,우투좌타,1985-02-09,"185cm, 75kg"
OB,52,김재호,우투우타,1985-03-21,"181cm, 75kg"
OB,53,양석환,우투우타,1991-07-15,"185cm, 90kg"
OB,8,안권수,우투좌타,1993-04-19,"175cm, 80kg"
OB,31,정수빈,좌투좌타,1990-10-07,"175cm, 70kg"
OB,32,김재환,우투좌타,1988-09-22,"183cm, 90kg"
OB,39,김인태,좌투좌타,1994-07-03,"178cm, 78kg"
OB,49,강진성,우투우타,1993-10-19,"176cm, 89kg"
OB,51,조수행,우투좌타,1993-08-30,"178cm, 73kg"
